Pergunta,Resposta
O que é a Lei nº 9.279/1996?,"É a Lei da Propriedade Industrial (LPI) que regula direitos e obrigações relativos a patentes, marcas, desenhos industriais e repressão às falsas indicações geográficas no Brasil."
Qual a função da Lei nº 9.610/1998?,"Regula os direitos autorais no Brasil, protegendo obras intelectuais como textos, músicas, artes visuais, entre outros."
O que trata a Lei nº 9.609/1998?,"É a Lei de Proteção de Programas de Computador, que protege os direitos dos desenvolvedores de software."
Qual a importância da Lei nº 13.123/2015?,"Regula o acesso ao patrimônio genético e ao conhecimento tradicional associado, além da repartição de benefícios."
O que estabelece a Lei nº 10.196/2001?,Dispõe sobre incentivos fiscais para inovação tecnológica e pesquisa científica e tecnológica.
Para que serve o Manual Básico de Patentes de Invenção?,Auxilia inventores e empresas a entenderem o processo de depósito e registro de patentes.
O que é o Guia rápido de Publicação do Pedido de Patente?,Um documento que orienta sobre os procedimentos para a publicação do pedido de patente no INPI.
Como funciona o Guia rápido de Solicitação de Exame Técnico?,Explica como solicitar o exame técnico do pedido de patente para que ele seja avaliado pelo INPI.
O que aborda o Guia rápido sobre classificação de patente?,Ensina como classificar corretamente uma invenção segundo a classificação internacional de patentes.
Para que serve o Manual do Usuário para o Registro Eletrônico de Programas de Computador?,Orienta sobre o procedimento para registrar software eletronicamente no INPI.
O que é a Instrução Normativa DIRPA nº 30/2013?,Norma que estabelece procedimentos para o exame e concessão de patentes no INPI.
Qual o objetivo da Norma de Execução DIRPA nº 1/2019?,Define regras para o processamento de pedidos de marcas no INPI.
O que trata a Norma de Execução DIRPA nº 7/2019?,Estabelece procedimentos para o registro de programas de computador.
O que é a Portaria INPI/PR Nº 10 DE 09 de Maio de 2025?,Documento que dispõe sobre atualizações e diretrizes administrativas do INPI.
Para que servem as Resoluções PR nº 85 e 93 de 2013?,Regulamentam aspectos técnicos e administrativos para o processamento de pedidos no INPI.
O que estabelece a Resolução nº 124 de 2013?,Define critérios para a análise técnica de patentes.
"Qual a finalidade da RESOLUÇÃO INPI/PR Nº 208, DE 27 DE DEZEMBRO DE 2017?",Atualiza procedimentos para o exame de pedidos de patentes.
"O que trata a RESOLUÇÃO INPI Nº 187, DE 27 DE ABRIL DE 2017?",Estabelece normas para o registro de marcas.
"Para que servem as RESOLUÇÕES INPI/PR Nº 240 e 241, DE 03 DE JULHO DE 2019?",Regulamentam procedimentos para o depósito e exame de desenhos industriais.
O que é o PCT?,O Patent Cooperation Treaty é um tratado internacional que facilita o depósito de pedidos de patente em múltiplos países.
Como funciona a Fase Internacional do PCT?,Permite o depósito único do pedido de patente que será reconhecido em vários países membros.
O que é a Fase Nacional do PCT?,Momento em que o pedido internacional é submetido para exame em cada país onde se deseja proteção.
Onde encontrar as tabelas de taxas do PCT?,No documento 'PCT Fee Tables' disponibilizado pela WIPO.
Qual a vantagem do PCT para inventores brasileiros?,"Facilita o processo de proteção internacional, reduzindo custos e prazos."
O que é a Convenção Europeia de Patentes (EPC)?,Tratado que regula o sistema de concessão de patentes na Europa via o Escritório Europeu de Patentes (EPO).
O que são as Guidelines do EPO?,Diretrizes que orientam o exame e concessão de patentes pelo EPO.
O que são desenhos industriais?,São a forma plástica ornamental de um objeto ou conjunto ornamental de linhas e cores que pode ser aplicado a um produto.
Como proteger desenhos industriais internacionalmente?,Através do sistema de registro internacional da WIPO para desenhos industriais.
Onde encontrar o guia da WIPO sobre desenhos industriais?,No documento 'WIPO – Industrial Designs Guide'.
Como solicitar o exame técnico de um pedido de patente no INPI?,"Por meio do Guia rápido de Solicitação de Exame técnico, seguindo os prazos e requisitos indicados."
Quais são os principais incentivos fiscais para inovação no Brasil?,"Previsto na Lei nº 10.196/2001, inclui deduções fiscais para empresas que investem em pesquisa e desenvolvimento."
O que é uma patente de invenção?,"Direito exclusivo concedido para uma nova invenção que atenda aos requisitos de novidade, atividade inventiva e aplicação industrial."
Qual a diferença entre patente de invenção e modelo de utilidade?,"A patente de invenção protege novas invenções, enquanto o modelo de utilidade protege melhorias funcionais em objetos já existentes."
Como funciona o registro eletrônico de programas de computador?,"É feito via sistema eletrônico do INPI, conforme o Manual do Usuário para o Registro Eletrônico de Programas de Computador."
O que é uma marca?,Sinal distintivo visualmente perceptível que identifica produtos ou serviços de uma empresa.
Como registrar uma marca no INPI?,"Seguindo o Manual de Marcas, realizando o depósito do pedido e acompanhando o processo até a concessão."
O que é uma licença de uso de patente?,Autorização concedida pelo titular da patente para que terceiros explorem a invenção.
Como funciona a oferta de licença no INPI?,"Regulada pelo Guia rápido sobre Oferta de Licença, que orienta sobre divulgação e formalização."
Quais são os prazos para depósito de patente no Brasil?,O pedido deve ser feito antes da divulgação pública da invenção para garantir a novidade.
O que é exame de novidade?,Avaliação para verificar se a invenção é nova e não foi divulgada anteriormente.
Como é feita a classificação de patentes?,"Segundo o Guia rápido sobre classificação de patente, utilizando a Classificação Internacional de Patentes (CIP)."
O que é o INPI?,"Instituto Nacional da Propriedade Industrial, órgão responsável pelo registro e concessão de direitos de propriedade intelectual no Brasil."
Quais são os tipos de propriedade intelectual protegidos pelo INPI?,"Patentes, marcas, desenhos industriais, programas de computador, indicações geográficas, entre outros."
O que é uma indicação geográfica?,"Nome ou sinal que identifica um produto como originário de uma região específica, com qualidade ou características atribuídas ao local."
Como proteger uma indicação geográfica?,"Por meio do registro no INPI, conforme previsto na Lei nº 9.279/1996."
O que é o exame técnico de patente?,Análise detalhada do pedido para verificar se atende aos requisitos legais para concessão.
Quais documentos são necessários para o depósito de patente?,"Descrição detalhada da invenção, reivindicações, desenhos técnicos e resumo."
O que é um pedido de patente?,Documento formal que inicia o processo de proteção da invenção junto ao INPI.
Como acompanhar o andamento do pedido de patente?,"Pelo sistema eletrônico do INPI, consultando o processo pelo número do pedido."
O que acontece se o pedido de patente for indeferido?,O requerente pode apresentar recurso ou ajustar o pedido conforme as exigências do INPI.
